"id","thomas_id","api_uri","first_name","middle_name","last_name","party","twitter_account","facebook_account","facebook_id","url","rss_url","domain","dw_nominate","ideal_point","seniority","next_election","state","district","missed_votes_pct","votes_with_party_pct","chamber"
"C001097","2107","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001097.json","Tony",NA,"Cardenas","D","RepCardenas","repcardenas","","http://cardenas.house.gov","http://cardenas.house.gov/rss.xml","cardenas.house.gov","","","4","2014","CA","29","9.43","93.75","house"
"C001101","2196","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001101.json","Katherine","","Clark","D","RepKClark","CongresswomanClark","","http://katherineclark.house.gov","","katherineclark.house.gov","","","4","2014","MA","5","5.66","96.00","house"
"D000096","1477","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000096.json","Danny","K.","Davis","D","RepDannyDavis","280757931935749","","http://www.davis.house.gov","http://davis.house.gov/rss/press-releases.xml","www.davis.house.gov","","","20","2014","IL","7","0.00","96.23","house"
"D000191","279","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000191.json","Peter","A.","DeFazio","D","RepPeterDeFazio","RepPeterDeFazio","94324364811","http://defazio.house.gov","http://defazio.house.gov/rss.xml","www.defazio.house.gov","","","30","2014","OR","4","9.43","85.42","house"
"D000197","1479","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000197.json","Diana",NA,"DeGette","D","RepDianaDeGette","DianaDeGette","110757973488","http://degette.house.gov","http://degette.house.gov/rss.xml","degette.house.gov","","","20","2014","CO","1","0.00","96.23","house"
"D000216","281","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000216.json","Rosa",NA,"DeLauro","D","RosaDeLauro","CongresswomanRosaDeLauro","181302611907634","http://delauro.house.gov","http://delauro.house.gov/index.php?option=com_ninjarsssyndicator&amp;feed_id=1&amp;format=raw","delauro.house.gov","","","26","2014","CT","3","1.89","96.15","house"
"D000399","303","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000399.json","Lloyd",NA,"Doggett","D","RepLloydDoggett","lloyddoggett","154050553704","http://doggett.house.gov","http://doggett.house.gov/index.php/component/ninjarsssyndicator/?feed_id=1&amp;format=raw","doggett.house.gov","","","22","2014","TX","35","0.00","96.23","house"
"D000482","316","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000482.json","Mike",NA,"Doyle","D","USRepMikeDoyle","usrepmikedoyle","79663724861","http://doyle.house.gov","http://doyle.house.gov/rss.xml","doyle.house.gov","","","22","2014","PA","14","0.00","92.45","house"
"D000533","322","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000533.json","John","J.","Duncan Jr.","R","RepJohnDuncanJr","CongressmanDuncan","102385999834718","http://duncan.house.gov","http://duncan.house.gov/rss.xml","duncan.house.gov","","","30","2014","TN","2","3.77","92.16","house"
"D000598","1641","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000598.json","Susan","A.","Davis","D","RepSusanDavis","RepSusanDavis","103767526332478","http://www.house.gov/susandavis","","house.gov/susandavis","","","16","2014","CA","53","0.00","96.23","house"
"D000600","1717","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000600.json","Mario",NA,"Diaz-Balart","R","MarioDB","mdiazbalart","119538428117878","http://mariodiazbalart.house.gov","http://mariodiazbalart.house.gov/rss.xml","mariodiazbalart.house.gov","","","14","2014","FL","25","1.89","90.38","house"
"D000604","1799","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000604.json","Charlie",NA,"Dent","R","","CongressmanDent","69862092533","http://dent.house.gov","http://dent.house.gov/?a=RSS.Feed","dent.house.gov","","","12","2014","PA","15","0.00","94.34","house"
"D000610","1976","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000610.json","Ted",NA,"Deutch","D","RepTedDeutch","CongressmanTedDeutch","112179098816942","http://teddeutch.house.gov","http://teddeutch.house.gov/news/rss.aspx","teddeutch.house.gov","","","8","2014","FL","21","5.66","96.00","house"
"D000612","1995","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000612.json","Jeffrey",NA,"Denham","R","RepJeffDenham","RepJeffDenham","133714040028137","http://denham.house.gov","http://denham.house.gov/rss.xml","denham.house.gov","","","6","2014","CA","10","0.00","86.79","house"
"D000614","2072","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000614.json","Sean",NA,"Duffy","R","RepSeanDuffy","RepSeanDuffy","119657691436457","http://duffy.house.gov","http://duffy.house.gov/rss.xml","duffy.house.gov","","","6","2014","WI","7","1.89","92.31","house"
"D000615","2057","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000615.json","Jeffrey",NA,"Duncan","R","RepJeffDuncan","RepJeffDuncan","187268144624279","http://jeffduncan.house.gov","http://jeffduncan.house.gov/rss.xml","jeffduncan.house.gov","","","6","2014","SC","3","0.00","92.45","house"
"D000616","2062","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000616.json","Scott",NA,"DesJarlais","R","DesJarlaisTN04","ScottDesJarlaisTN04","","http://desjarlais.house.gov","http://desjarlais.house.gov/rss.xml","desjarlais.house.gov","","","6","2014","TN","4","5.66","94.00","house"
"D000617","2096","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000617.json","Suzan","K.","DelBene","D","RepDelBene","RepDelBene","483962224987343","http://delbene.house.gov","http://delbene.house.gov/rss.xml","delbene.house.gov","","","6","2014","WA","1","0.00","92.45","house"
"D000619","2126","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000619.json","Rodney",NA,"Davis","R","RodneyDavis","RepRodneyDavis","323631667743052","http://rodneydavis.house.gov","http://rodneydavis.house.gov/rss.xml","rodneydavis.house.gov","","","4","2014","IL","13","0.00","92.45","house"
"D000620","2133","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000620.json","John",NA,"Delaney","D","RepJohnDelaney","congressmanjohndelaney","324527257655694","http://delaney.house.gov","http://delaney.house.gov/rss.xml","delaney.house.gov","","","4","2014","MD","6","0.00","77.36","house"
"D000621","2116","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000621.json","Ron",NA,"DeSantis","R","RepDeSantis","RepDeSantis","464253846966014","http://desantis.house.gov","http://desantis.house.gov/rss.xml","desantis.house.gov","","","4","2014","FL","6","0.00","92.45","house"
"D000622","2123","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000622.json","Tammy",NA,"Duckworth","D","RepDuckworth","CongresswomanTammyDuckworth","112300955610529","http://duckworth.house.gov","http://duckworth.house.gov/rss.xml","duckworth.house.gov","","","4","2014","IL","8","90.57","100.00","house"
"E000179","344","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/E000179.json","Eliot","L.","Engel","D","RepEliotEngel","RepEliotLEngel","103355984852","http://engel.house.gov","http://engel.house.gov/rss/latest-news1.xml","engel.house.gov","","","28","2014","NY","16","14.58","100.00","house"
